Task ID,Activity Title,Description,Status,Priority,Start Date,Due Date,Estimated Hours,Assignee Email,Tags,List / Category,Department,Job No,Client,Remarks
AKK-ENG-01,"Thermal Design Calculation Resubmission (Code-02 Approved)","Resubmit thermal calculation for all tags via DTN 051 following Code-02 approval comments.",In Progress,Urgent,2026-07-10,2026-08-20,40,sanket@dolheat.ae,"Engineering;Thermal;SLB;DTN051",Engineering & Design,Engineering,1119,SLB,"Resubmission via DTN 051"
AKK-ENG-02,"Mechanical Design Calculation Resubmission","Resubmit mechanical design calculations following client comments.",In Progress,Urgent,2026-07-15,2026-08-22,35,sanket@dolheat.ae,"Engineering;Mechanical;SLB",Engineering & Design,Engineering,1119,SLB,"Client comments received"
AKK-ENG-03,"Resubmission of GAD, Tube Bundle & Shell Detail Drawings","Resubmit General Arrangement Drawings (GAD), Tube Bundle, Shell, and Channel detail drawings for SLB review.",In Progress,Urgent,2026-07-18,2026-08-25,50,pankaj@dolheat.ae,"Engineering;Drawings;SLB;GAD",Engineering & Design,Engineering,1119,SLB,"Comments received; resubmission in progress"
AKK-PROC-01,"Tubes Order (PO 6006) - Transit & Delivery Check","Tubes for 6 Tags in transit via DHL; awaiting confirmation for 2 Tags. Vendor: Rajeshwar Metal & Tubes.",In Progress,High,2026-04-29,2026-08-26,20,khalid@dolheat.ae,"Procurement;Tubes;DHL;SLB",Procurement & Materials,Procurement,1119,SLB,"In transit via DHL"
AKK-PROC-02,"TubeSheets & Flanges Order (PO 6103) - KJF Transit","TubeSheet, Girth Flanges, Channel Flanges Hub & Nozzles. Vendor: KJF Co. Ltd. In transit via DHL.",In Progress,High,2026-06-10,2026-08-18,15,khalid@dolheat.ae,"Procurement;Flanges;KJF;SLB",Procurement & Materials,Procurement,1119,SLB,"In transit - DHL"
AKK-PROC-03,"TubeSheets & Flanges Order (PO 6115) - KJF Delivery","TubeSheet & Flanges shipment. Vendor: KJF Co. Ltd. Expected delivery: 11-Aug-26.",In Progress,High,2026-06-17,2026-08-11,15,khalid@dolheat.ae,"Procurement;Flanges;KJF;SLB",Procurement & Materials,Procurement,1119,SLB,"Arrival at Ajman plant"
AKK-PROC-04,"Flanges & Hubs Order (PO 6186) - EXW Readiness","Flanges and hubs. Vendor: KJF Co. Ltd. EXW readiness date 26-Aug-26.",In Progress,High,2026-07-11,2026-08-25,12,khalid@dolheat.ae,"Procurement;Flanges;KJF;SLB",Procurement & Materials,Procurement,1119,SLB,"EXW readiness 26th August"
AKK-PROC-05,"Materials Receipt (PO 6146) - Kalhour Trading","Raw materials for hubs and nozzles received from Kalhour Trading Co. L.L.C.",Done,Medium,2026-06-24,2026-07-15,10,khalid@dolheat.ae,"Procurement;Kalhour;SLB",Procurement & Materials,Procurement,1119,SLB,"Material Received at Ajman Yard"
AKK-PROC-06,"Plates Receipt (PO 6149-6164) - Shell & Channel","Shell & Channel plates received at Ajman Yard from JSS, Kaddas, Dubai Building Mat, Tee Dee, Danube, Al Nimr.",Done,Medium,2026-06-30,2026-07-09,16,khalid@dolheat.ae,"Procurement;Plates;AjmanYard",Procurement & Materials,Procurement,1119,SLB,"Material Received at Ajman Yard"
AKK-PROC-07,"Fasteners & Gaskets Procurement (PO 6224 / 6217)","Fasteners and Spira Power gaskets procurement. PO released; delivery in progress per schedule.",In Progress,Medium,2026-07-23,2026-08-27,14,khalid@dolheat.ae,"Procurement;Fasteners;Gaskets;Spira",Procurement & Materials,Procurement,1119,SLB,"Delivery in progress per schedule"
AKK-FAB-01,"ON-E-1402C: TEG COLD/HOT (HOT) - Baffles Drilling","Baffles & Tube Bundle drilling in process. Shell & Channel nozzle fit-ups completed.",In Progress,High,2026-07-20,2026-10-04,60,kannan@dolheat.ae,"Fabrication;Tag1402C;TEG;SLB",Fabrication & Assembly,Fabrication,1119,SLB,"Baffle drilling in process"
AKK-FAB-02,"ON-E-1403C: TEG COLD/HOT (COLD) - Baffles Drilling","Baffles & Tube Bundle drilling in process. Shell & Channel nozzle fit-ups completed.",In Progress,High,2026-07-20,2026-10-04,60,kannan@dolheat.ae,"Fabrication;Tag1403C;TEG;SLB",Fabrication & Assembly,Fabrication,1119,SLB,"Baffle drilling in process"
AKK-FAB-03,"ON-E-1405C: TEG REFLUX CONDENSER - Rolling & Welding","Shell & Channel plate rolling completed; longitudinal seam welding in process.",In Progress,High,2026-07-22,2026-10-04,55,kannan@dolheat.ae,"Fabrication;Tag1405C;TEG;SLB",Fabrication & Assembly,Fabrication,1119,SLB,"LS seam welding in process"
AKK-FAB-04,"ON-E-1412C: GAS/LIQUID EXCHANGER-1 - Longitudinal Welding","Shell rolling & LS welding completed; Channel LS welding and Baffle drilling in process.",In Progress,High,2026-07-15,2026-09-03,65,kannan@dolheat.ae,"Fabrication;Tag1412C;GasLiquid;SLB",Fabrication & Assembly,Fabrication,1119,SLB,"Channel welding & Baffle drilling"
AKK-FAB-05,"ON-E-1502C: GAS/LIQUID EXCHANGER-2 - Nozzle Fit-Up","Shell nozzle fit-up and baffle drilling in process.",In Progress,High,2026-07-18,2026-09-03,50,kannan@dolheat.ae,"Fabrication;Tag1502C;GasLiquid;SLB",Fabrication & Assembly,Fabrication,1119,SLB,"Nozzle fit-up in process"
